combined_text,label,label_id
"Macera dolu,heyecanlı,arkadaşlığın önemini vurgulayan bir film.Öyle çok şeyler beklemeden standart beklentiler eşliğinde hoşça vakit geçirebilirsiniz",neutral,1
başarılı. 3 gözü de gayet geniş dış kumaşı dayanıklı görünüyor rengi de canlı sadece gözlerin arasındaki kumaş çok kaliteli değil,positive,2
Jack küçültücü de alın. Eğer profesyonel kayıt yada amatör kayıt yapacaksanız hiç bakmayın Ama bilgisayara bağlayıp eş dost arasında kullanmak için yeterli Bilgisayara bağlamak için jack küçültücü almanız gerekiyor unutmayın,negative,0
COK İYİ. urun 3 gunde geldi tesekkurler HB ve yurtici,positive,2
Erotizm kısmına takılmadan okunmalı. Gerçek bir duygu ile karşılaşma ve onu bulmaya çalışma isteği İnsanın kendi kötü içgüdülerinin yönlendirdiği karanlık bir yol Bataklık yabani otlar vahşi hayvanlarla dolu yıldızsız korkutucu derin yeşil tonundan umut renginden eser kalmamış grileşmiş bir orman Yol sonunda parlayan bir ışık umut sevgi aşk duygu ve SAHİPLENME hissinin var olduğunu gösteren İşte küçük kızın dünyasının özeti Yaşamayan bilemez ön yargılı davranmadan önce özellikle ebeveynlerin ibret alma adına okumaları gereken bir kitap İçeriğinde yer alan pornografik betimlemeler göz önünde bulundurulmadan okunmalı ki anlatılmak istenen anlaşılabilsin,positive,2
1. hafta bozuldu. agresif bir şekilde kullanmadım 1 hafta dolmadan bozuldu almayın boşuna,negative,0
Teşekükür ederim Görseldeki gibi aynı ürün,positive,2
Hayal Ürünü . Hayal Ürünü kurmacalarin gerçekmiş gibi aktarıldığı gerçekle alakası olmayan ısmarlama bit kitap,negative,0
berbat.para israfıkullanışsız. foto koya bilseydim gösteriyordum ozensis kargotetik yalama olmuş kutu daha önce açılmışbi bant falan yok note 5 kullanıyorumekranın yarışına kadar geldi ayarlama yeri var arkada vidayla en arkaya bile aldığımdaekranı kullanamıyorum,negative,0
Sipariş verdikten 2 gün gibi kısa bir sürede elime ulaştı Ürün özenle paketlenmiş görüntü ve teknik olarak oldukça kaliteli profesyonel bir makine 2400 W süper güç Bu fiyata bu kalite çok iyi ilgilenen herkese tavsiye ederim Teşekkürler Ucuzlukçu ve Hepsiburada,positive,2
tv sehpası. ürünü gördüğümde bende beğendim yalan yok ama belli bi kullan8mdan sonra misafirler için sehpacı çıkarttığında sehpa eğilme noktasına geliyor durmadan vidaliyorum kendi kurduğumuz sağlam olmuyor yada üründen kaynaklı,negative,0
tavsiye eymiyorum. sınıf için aldım daha takarken çıkmaya başladı sabahleyin hepsi yerdeydi,negative,0
müthiş oyunculuk;güzel bir senaryo ve eğlenceli bir film .10/10,positive,2
Çok lüx duruyor.... İndirimdeyken almıştık çok sağlam ve hassas yağ oranı gibi fazladan bilgiler göstermiyor ama sadece kilosunu düzenli olarak kontrol etmek isteyenler için ideal gerçekten fazla şık bir ürün,positive,2
Asla almayın. Çok berbat bir ürün Hiç tavsiye etmiyorum,negative,0
bence harika bir film,positive,2
ben her yönden oldukça başarılı buldum filmi...bravo...,positive,2
Çok iyi. Daha bugün denedik patates kızarttık Çok beğendik Az yağla çıtır çıtır oldu 35 dakika çok bile Biz 28 dk da aldık Hepsiburadaya da hızlı teslimat ve uygun fiyat için teşekkürler,positive,2
Beğendim.. Kullanışlı ve kaliteli görünüyor Alyan anahtar seti çok çok iyi ve pratik,positive,2
Ne kadar bastırsan da silik yazıyor,negative,0
Tavsiye Etmiyorum. Ürünün kapakları çok kalitesiz beğenmedim hiç beklediğim gibi çıkmadı,negative,0
"Bir katliam daha.Filmi beğenmeyenler olabilir ama benim gibi merakla bekleyenlerde var.Neden,bu filmlerin günahı ne aylarca bekletiyorsunuz?",positive,2
Uzun bir süredir beklediğim bir film. 12 Ağustos'ta Amerika ve Avrupa'da gösterime girecek. Bizim ne zaman izleyebileceğiz konusunda bir fikrim yok😑 U,positive,2
"genel itibariyle filmi beğendim fakat, finalini çok yavan buldum. daha etkili bir final filmi daha ilgi çekici yapabilirdi.",neutral,1
Sıradan bir Kevin Kostner filmi daha. Sıradan bir golfçü olan Kevin Kostner arkadaşı ünlü golfçü Don Johnson ı yenerken Rene Russo nun da kalbini çalar,negative,0
gayet güzel. urunu cok begendim umarim paslanmaz,neutral,1
Kargo hızlıydı. kargo sorunsuz hızlı geldi ama malzeme aşırı derecede ince neredeysr arkası görünecek Güneşten fazla koruyacağını düşünmüyorum malzeme kalitesiz biraz daha kalın ve koyu olabilir di,negative,0
"film oldukca guzel, yavas ilerlemesine aldanmayin,sonunda bir supriz sizi bekliyor. 10/8",neutral,1
kargoya dikkat edilirse iyi olur 3 kutu aptamil 1 900 aldım üçünün de kapağı kırık çıktı,neutral,1
Hızlı kargo güzel ürün oyuncular için harika seçim,positive,2
kargo sıkıntı. ürün sipariş verdik ten bir kaç gün sonra kargoya verildi mesajı geldi beş gün kargodan sonra geldi ürünü kullaniyorduk güzel ürün tavsiye ederim,neutral,1
Parasının karşılığını çok çok. Oğluma geceden takıyorum sabah ne sızma ne bi kötü koku asla yapmıyor diğer bezlere bakarak en mennun kaldığım 1 numaralı bez kesinlikle tavsiye ederim,positive,2
sıradan bir film ama çok akıcı sıkılmadan izledim 10/8,positive,2
"Bu filmi izledim ve bir yerinde koptum ağlamaktan.o kadar duygusaldı ki.Her şeyi ile baş yapıt bence.Klasiklerin arasın da da.Filmin her şeyi çok güzeldi öğretmen jhon keating,öğrencilerin hepsi harikaydı kısacası.Anlatmak istenen de çok iyi olup karşı izleyiciye bunu yansıtması ve hiç sıkmadan anlatması çok daha güzel.Bunun yanında da hiç bitmesini istemediğiniz bir film oluyor.Hele o duygusal anlar.Ve Ve VE o öğretmenin son sınıftan çıkarken öğrencilerin yaptığı davranış harikaydı.Heralde bir öğretmen öğrencilerinden böyle öğrettiklerinin karşılığını alınca mutlu olur.John öğretmene de bence bir ömür boyu yetmiştir diye düşünüyorum. ve şunu da söylim hiç sıkıcı bir yanı yok.Özelliklede donuk bir film hiç değil.Ve son olarak film kesinlikle ve kesinlikle izlenmeli sonrada göz yaşlarına boğulup ağlanmalı.Çünkü insanın elinde değil.",positive,2
Fiyatına göre fena değil. Fiyatına göre fena değil,neutral,1
ÇÖP. KESİNLİKLE ALMAYIN EN İYİ DURDUGU YER ÇÖP BUGUNE KADARNE ALDİYSAM HEPSİ BURADA DAN MEMNUN KALDİM İYİDİ BÖYLE ÜRÜN KOYDURTMAMASI LAZİM SİTESİNE ÇÖP BU KADAR NET,negative,0
Ruh kovalamaca. Zıp zıp insandan insana geçen kötü bir ruh nasıl yakalabilir ki Enteresan bir gerilim,neutral,1
Telefon giriş kısmında sorun çıkıyor hemen ben idareli kullanırım diyen arkadaşlar içinde telefonu sadece bi 2 kere sarj ettim ondan sonra telefona giren kısım oynamaya başladı Alırsanız görürsünüz zaten ne kadar kötü bir şey olduğunu,negative,0
çok sıradan ve vasat bi film zaman kaybı,negative,0
Harika. Ilk deneyim olarak Pankek yaptim misafirlerime tava mi cok begendiler instegram da resim paylaştım tava çok begeni topladı çok pratik çok rahat yicekler de görsellik mukemmel,positive,2
Bir daha asla. Kum sürekli kullandığım ve hep internetten aldığım bir ürün ama hayatımda ilk defa böyle bir rezalet yaşadım Aldığım 3 paketden 2 si paketleri yırtılmış şekilde geldi Kedi kumunu evdeki kovalara boşaltmak zorunda kaldım Tabi bu işlemi yapana kadar kolilerden dökülen taneler ile evin her yeri kedi kumu oldu Bir ürünü sağlam paketlemek zor değil sadece müşteriye ve yaptığın işe saygı duymayı gerektirir Keşke fotoğraf yüklenebilseydi de yaşattıkları rezaleti herkesle görsel olarak da paylaşabilseydim Böyle bir hizmet kalitesizliği olamaz,negative,0
tavsiye etmem. sipariş ve kargo süreci güzeldi fakat 1 aylık çok da yoğun olmayan kullanım sonucu sağ analog tuşu bozuldu üstelik bozulan tuş üstüne basarak kullanılan kısımı yani çok çok az kullanımı oldu galiba kaliteli bir ürün değilmiş,negative,0
Ekran Koruyucu. Rezalet kötü bir ürün almayın tavsiye etmem,negative,0
"Süreç iyi,içerik kötü. Kargo hızlıPaketleme güzelOrjinal kitapFakat içerik olarak aldığıma değmedi bana göre değil ve hüşbir katkısı olmadı sıradan bir şiir kitabı",negative,0
Fazlası ile kullanışlı,positive,2
Ürün ile birlikte gelen kabloların temassızlık yapmasından dolayı sağ kulaklıktan ses gelmediğini farkettim Kabloyu oynattıkça ses gidip geliyor ancak bıraktığım anda ses tekrar kesiliyor 3 5mm lik jak kablosu takıldığında herhangi bir sıkıntı yaşanmıyor ancak diğer girişe takılan kablolar temassızlık yapıyor,negative,0
Biraz zaman geçirmek için izlediğim ama izlerken zamanın geçmek bilmediği film.,negative,0
tam istediğim gibi ürün,positive,2
Çamaşır renklerini çok iyi korumasa da kokusuna bayıldım arada banyoya gidip kokluyorum,positive,2
bebek bezinde önde. Ben marka ve reklam gözetmeksizin ürün alan ebeveyn olarak önce kalite diyorum Prima bu ifadenin hakkını veriyor,positive,2
"öncelikle söylemeliyim ki bu filmi yorum yazan bir arkadaşın paramparça aşklar köpekler filmine benzetmesi üzerine izledim...o kadar tat verdiğini söyleyemem ama gerçekten anımsatmıyor demek de yanlış olur.güzel bir filmdi ancak filmin süresi çok kısa olmasına rağmen ben izlerken sıkıldım...özellikle o (filmdeki ismini hatırlamıyorm) hırsızlığı Mazluma öğreten baş karakterin görmüş geçinmiş tavırlarıyla mazluma bir şeyler anlatması çok yapmacıktı...özellikle bazı yerler hele hiç sebep yokken baş kapkaççının sevgilisine ailesiyle çekmiş olduğu fotoğrafı göstermesi bana basit geldive hırsızlar gün boyu bir sürü kapkaç olayına karışıyor ve hiç kıyafetlerini bile değiştirmiyorlardı,çalıntı arabayla gün boyu rahat rahat dolaşmaları da bana biraz mantıksız geldi...herşeye rağmen finali tahmin edilse de  yaşanan son talihsiz olay çok güzeldi ve film güzel bitiyordu(keşke mazluma ne olduğu da gösterilseydi)6/10",neutral,1
boy uzun en kısa. pejo 307 ye aldım genişlik birz fazla buda sorun teşkil etmiyor ama en kısa kalıyor 5 10 cm daha olsa içeriye ışık sızmayacak,positive,2
trafik seti. her arabada bulunması gereken bir set ürünler iyi mi derseniz bu fiyata idare eder,neutral,1
Tavsiye Etmiyorum.. Adaptör vb iyi fakat şöyle anlatayım Eski antenim kırıktı Radyo çekiyor çekmiyor arası idi Şimdi bunu taktım 5 falan anca farketti Yani Kırık Anten kadar anca çekiyor radyo Ucuz bir ürün olduğunu takınca anlıyorsunuz,negative,0
m.uyar. ürün çok kaliteli ve güzel ihtiyacı karşıladı tavsiye ediyorum pişman olmaz sınız,positive,2
Animasyon olarak güzeldi,neutral,1
Teşekkürler ürün birebir aynı Hızlı kargo,positive,2
Tam bir felaket. Demonte ürün olayını tamamen yanlış anlamış üretici firma Sunta kalitesi vasatın altında Delikler çok eksik delinmiş Vidalar yazılandan az İnce suntalar var 2 adet olan yarım santim daha uzun olmalı Keşke kurulum şemasını hazırlamadan suntaları kesmeden gönderseler daha iyi olurdu Kısacası tam bir sükutu hayaldi vesselam Yani fazladan iki vida üç çivi üç beş delik delmek bu kadar zor olmamalı,negative,0
berbat. hayatımda gördüğüm en berbat ürün olabilir asla tavsiye etmiyorum Kokusu olsun ürünün yapısı olsun çok kötü,negative,0
Müziği sevenler için çok zevkli. Kitabın akıcılığı yönünden belirtmek isterim ki kitabı 1günde okudum Müziki çok sevmem ve kendimde bir şeyler bulmam bunu hızlandırmış olmalı Tavsiye edermisin derseniz evet ederim ama yine de zevklerin farklı olduğunu düşünüyorum Çok satanlara fazla takılmayın derim ben,neutral,1
İlk aldığımızda bir sorun göremedik fakat şuan pili 2 saat bile dayanmıyor Garantiye vereceğiz bakalım ne çıkacak,negative,0
Ürün görseldelinin aynısı değil başlık kısmı çok büyük o yüzden aynı zerafeti yakalayamadik kaba duruyor Ayriyeten duyun siyah elektrik kablosunu da dusunmemisler kablonun yandan sarkması da güzel durmuyor Kullanılır mi kullanılır ama beklediğim performansi vermedi basit bir tasarım ince çıtalarla yapılmış fiyatını gereksiz pahalı buldum Alacaklar için yönlendirme olmasın yine beğenen begenebilir ama ben pek begenemedim teşekkürler,negative,0
Başka bir mama sandalyesi ile deneyimim olduğu için bu ürünün farkını çok iyi anladım Gelişimi hızlı olan bebekler için ideal Doğumdan itibaren kulllanıma uygun Tekerleklerden halı üzerinde performans beklemeyin Bunun dışında ürün Harika Terletme konusunda bebeğim pamukluda bile terlediği için oturma minderi beni rahatsız etmedi silerek temizliği daha basit ayrıca satıcı firma özenli bir şekilde ürünü gönderdi kargoya teslimatıda erken yaptı güvenerek alabilirsiniz,positive,2
Kanserin kaçınılmaz acı sonu....... Film iyi işlenmiş bir kurguda 70 li yılların emmy ödülü almış bir TV Film inin ikinci kez çekilişi klasik 3 yıldızlık bir film Biraz asap bozuyor ama yinede akılda kalan bir konu,neutral,1
Ürün çok kötü paketlenmiş mekanizması bozuk geldi kötü paketlemeden dolayı ezilmiş çok kötü geldi 1 puan bile etmez,negative,0
Kiki'nin uçuşuyla başlayan bu muhteşem çizgi film aynı anda insanı uçuruyor. Hayao Miyazaki bambaşka. Yaptığı işin özü sevgi. Her çizgisinde sevgi hissediliyor.,positive,2
kesinlikle izlenmeli  8/10,positive,2
Muhteşem bir ürün. kadınlar gününde indirimde aldım iyiki almışım hepsiburadaya sonsuz teşekkürler Yorum yazma sebebim ben buradaki yorumlara güvenerek aldım o yüzden yazma gereği duydum kesinlikle tavsiye ederim,neutral,1
kubricke güvenip izledim.hayalkırıklığı yaşadım.sevene de sevmeyenede saygı duyalım.,negative,0
bekledigim urun. ürünü zaten biliyordum gayet kullanışlı ama mağaza biraz sıkıntılı ürünü kendi ambalajında yollamamis ve fatura vs hiçbir şey yoktu buda mağaza hakkındaki düşüncelerimi olumsuz etkiledi ileride bir sıkıntı olsa ilgilenmezler,negative,0
yalannn. sol kulak iki ay kullanım sonrasında boka sarıyor çalışmıyor kulaktan düşme olayı çok saçma bir şekilde oluyor,negative,0
çok güzel ve anlamli bir film. Büyükler bile zevkle izlerken küçükler içinde ögretici bir filmdi. Tesekkurler.,positive,2
Biraz küçük . Oyuncak sandığı gibi ölçülere dikkatli bakın İlla alacaksanız şarzlı bir tornavida bulundurun,negative,0
"""klişe"" daha ne denebilir ki? hollywood korku janrında ne zaman eski günlerine döner, merak ediyorum!",negative,0
Bence saglikli ve iyi leke cikariyor,positive,2
Beklediğim gibi değil. Öncelikle ürünü arkada oturan bebeğimi güneşten korumak için almıştım Honda civic marka arabam var Arka cam için ölçüleri gayet uygun ama yan camlara çok küçük geldi Yanlardan hiç koruma sağlayamadım Bu da beni hayal kırıklığına uğrattı Ön cam perdesi metalik ancak çok ince Ön cam perdesinin cama yapışık durması için perdenin yan tarafına kulakçıklar yapılmış ama bunları tutturacak vantuzlar yok ortada Bu da bu ürünün komik yanı Bu fiyata daha iyi ürün beklerdim,negative,0
Orta halde . Ayarlarım güzel fakat saç traşı olmak zor tarakları tıkanıyor bazen acıyor bile Ama yinede fıyatına göre iyi kullanışlı,neutral,1
Zayıf noktası. Zayıf noktası keskiyi tutan kısmımı yani kafası diyer büyük markalara göre daha çabuk bozuluyor sanki 2 yıllık şuan keskiyi fırlayor amatörce kullılabilir,neutral,1
hızlı kargo teşekkürler,positive,2
İnanılmaz hız kaliteli ürün,positive,2
çok güzel (!). müthiş soğutuyor harika bir ürün,negative,0
Süper Ya Her İzleyişimde Koptuğum Filmlerden.Komedi.Kemal Sunal Özledik Seni  :(,positive,2
Yıllar önce Fairy nin sıvı bulaşık deterjanıyla tanıştım O günden beri dostluğumuz hiç bozulmadı Şimdi bize Fairy bulaşık makinesi kapsülleri de katıldı Bütün bardaklarım tabaklarım ışıl ışıl Seni seviyorum Fairy,positive,2
Elizabeth filmine itiraf ediyorum sadece kostümlerini görmek için gittim.kostüm özellikle kraliçenin ki süper di.Fakat film de bi okadar kötüydü bence kraliçe rolündeki Cate Blanchett'e sözüm yok da kraliçenin aşık olduğu Clive Owen oyunculuğunu beğenmedim.Hikayeetkileyici bi şekilde yansıtılmamış.Savaş başlamadan askerlere moral veren kraliçe bir avuç askere sesleniyor.Saçları neden okadar kıssa anlamadım zaten peruk olsa bile alttan çıkan saçın kesimi modern kalmış bana göre.aşık olduğu adamla yaşadığı romantik an bile çok yavan benim hoşuma gitmedi.Kuzeni rolündeki Samantha Mortonun oyunculuğuda iyiydi hakkını yemeyelim:-)),neutral,1
süper ürün. prima külot bez süper ötesi bebeğim çok rahat teşekkürle prima,positive,2
fiyatına göre iyi. gerçeği söylemek gerekirse çokda görünüş olarak hoşuma gitmedi küçük bir kitap ama farklı ülkelerin lezzetleri var bilemiyorum yapınca görecegiz hepsiburada com teşekkür ederim,negative,0
Benim gibi 80 lerin sonlarında doğanlar için ve özellikle az çok eski oyunlara ilginiz var ise; filmin size bir şeyleri çağrıştıracağını ve nispeten yüzünüzde bir tebessüm bırakabileceğini düşünüyorum. Fakat beklentileriniz de çok yüksek olmasın derim. Netice itibariyle sağ olsun kahraman(!) Amerikalılarımız dünyamızı yine kurtarıyorlar. Peki film sıkıcı mı? Sıkıcı olduğunu düşünmüyorum aksine eğlenceli bir seyirlik. Zaman geçirmek için izlenebilir.,neutral,1
Muhteşem. Cumartesi günü vermiş olduğum sipariş pazartesi öglen geldi öncelikle hızlı gönderi için teşekkürler Ürünü almak için yorumlara bakmak çok önemli Aracım Volkswogen Caddy Klima girişine harika bir şekilde oturdu ve gram titreme yok kesinlikle tercih edilebilir ve ben şimdi diğer araclarım için 2 adet daha sipariş geciyorum,neutral,1
Kotu kokuyor. Kalitesiz malzemeden en olarak dar ve amatörce üretilmiş bir ürün Ağır bir kimyasal kokusu hakim 2 gündür balkonda havalandırıyorum ancak henüz koku geçmedi Ürünün işe yarayıp yaramadığını bilemiyorum çünkü çocuğumun kafasının elinin vs değdiği yere koymak istemedim Makineye atıp yıkarsam yırtılacakmış gibi geliyor Kargo ertesi gün ulaştı,negative,0
korku ve gerilim bir yana bize hiç birşey katmayan bomboş bir film. zaman kaybı.,negative,0
